"anon_id","state","origin","county","year","month","type","inj_level","condition","gear","fine","infraction_type"
"ID_997669","CA","commercial","Marin",2018,5,"Gray Whale",10,"dead","gillnet",1,2
"ID_721334","CA","commercial","Monterey",2018,5,"Humpback Whale",8,"alive","slack _lines",1,3
"ID_696392","CA","commercial","Santa Barbara",2018,5,"Fin Whale",5,"alive","gillnet",0,0
"ID_841355","WA","commercial","Grays Harbor",2018,5,"Gray Whale",8,"alive","gillnet",1,3
"ID_879948","CA","commercial","Monterey",2018,5,"Humpback Whale",9,"alive","slack _lines",1,3
"ID_219534","OR","commercial","Lincoln",2018,6,"Gray Whale",5,"alive","slack _lines",0,0
"ID_412352","CA","commercial","San Mateo",2018,6,"Humpback Whale",5,"alive","gillnet",0,0
"ID_783111","CA","commercial","Los Angeles",2018,7,"Humpback Whale",10,"dead","gillnet",1,3
"ID_905261","WA","commercial","Grays Harbor",2018,7,"Humpback Whale",6,"alive","gillnet",0,0
"ID_216709","CA","commercial","Monterey",2018,7,"Humpback Whale",4,"alive","slack _lines",0,0
"ID_912287","CA","commercial","Mendocino",2018,7,"Humpback Whale",5,"alive","gillnet",0,0
"ID_960706","WA","non-commercial","Clallam",2018,7,"Humpback Whale",2,"alive","net",0,0
"ID_838860","OR","commercial",NA,2018,7,"Humpback Whale",1,"alive","gillnet",0,0
"ID_949031","WA","commercial","Clallam",2018,8,"Humpback Whale",2,"alive","net",0,0
"ID_678300","CA","commercial","Humboldt",2018,8,"Humpback Whale",5,"alive","slack _lines",0,0
"ID_501388","WA","commercial","Grays Harbor",2018,8,"Humpback Whale",10,"dead","gillnet",1,3
"ID_463621","CA","commercial","San Diego",2018,8,"Humpback Whale",6,"alive","gillnet",0,0
"ID_566809","WA","non-commercial","Clallam",2018,8,"Humpback Whale",2,"alive","net",0,0
"ID_539551","WA","non-commercial","Clallam",2018,8,"Humpback Whale",1,"alive","net",0,0
"ID_686249","CA","commercial","San Francisco",2018,8,"Humpback Whale",3,"alive","gillnet",0,0
"ID_785243","CA","non-commercial","Monterey",2018,9,"Humpback Whale",6,"alive","trap",0,0
"ID_722922","OR","commercial",NA,2018,9,"Humpback Whale",4,"alive","gillnet",0,0
"ID_802358","CA","commercial","San Diego",2018,9,"Humpback Whale",10,"dead","slack _lines",1,3
"ID_146293","CA","commercial","San Luis Obispo",2018,9,"Humpback Whale",7,"alive","gillnet",0,0
"ID_858374","CA","commercial","Monterey",2018,9,"Humpback Whale",5,"alive","slack _lines",0,0
"ID_812841","CA","commercial","San Luis Obispo",2018,9,"Humpback Whale",8,"alive","gillnet",1,3
"ID_607102","CA","commercial","Monterey",2018,10,"Humpback Whale",5,"alive","trap",0,0
"ID_868354","CA","commercial","San Mateo",2018,10,"Humpback Whale",8,"alive","slack _lines",1,3
"ID_905971","CA","commercial","Mendocino",2018,10,"Humpback Whale",4,"alive","gillnet",0,0
"ID_537367","CA","commercial","Monterey",2018,11,"Humpback Whale",8,"alive","gillnet",1,3
"ID_677711","CA","commercial","San Diego",2018,11,"Humpback Whale",4,"alive","gillnet",0,0
"ID_784172","CA","commercial","Marin",2018,12,"Humpback Whale",8,"alive","slack _lines",1,3
"ID_532657","OR","commercial","Lincoln",2019,3,"Gray Whale",5,"alive","gillnet",0,0
"ID_556020","CA","commercial","Ventura",2019,3,"Humpback Whale",8,"alive","gillnet",1,3
"ID_422078","CA","commercial","Orange",2019,4,"Gray Whale",2,"alive","gillnet",0,0
"ID_590003","CA","commercial","Orange",2019,4,"Gray Whale",8,"alive","gillnet",1,3
"ID_209670","CA","commercial","San Luis Obispo",2019,5,"Gray Whale",5,"alive","gillnet",0,0
"ID_156313","CA","commercial","Santa Barbara",2019,5,"Humpback Whale",4,"alive","gillnet",0,0
"ID_268687","WA","non-commercial",NA,2019,6,"Gray Whale",6,"alive","trap",0,0
"ID_620466","OR","commercial","Curry",2019,6,"Gray Whale",10,"dead","slack _lines",1,3
"ID_192425","WA","commercial","Clallam",2019,6,"Humpback Whale",4,"alive","gillnet",0,0
"ID_845634","CA","commercial","Marin",2019,7,"Humpback Whale",6,"alive","slack _lines",0,0
"ID_302351","CA","commercial","Monterey",2019,8,"Humpback Whale",3,"alive","slack _lines",0,0
"ID_444553","CA","commercial","San Mateo",2019,8,"Minke Whale",4,"alive","gillnet",0,0
"ID_175239","CA","commercial","Monterey",2019,8,"Humpback Whale",5,"alive","gillnet",0,0
"ID_161900","CA","commercial","Santa Barbara",2019,8,"Humpback Whale",2,"alive","slack _lines",0,0
"ID_539498","WA","commercial","Clallam",2019,8,"Humpback Whale",3,"alive","gillnet",0,0
"ID_755948","CA","commercial","Monterey",2019,8,"Humpback Whale",6,"alive","gillnet",0,0
"ID_192302","CA","commercial","Monterey",2019,8,"Humpback Whale",7,"alive","gillnet",0,0
"ID_397357","OR","commercial","Lincoln",2019,9,"Gray Whale",4,"alive","gillnet",0,0
"ID_368543","OR","commercial","Lincoln",2019,9,"Gray Whale",7,"alive","gillnet",0,0
"ID_702800","CA","commercial","Orange",2019,10,"Humpback Whale",3,"alive","gillnet",0,0
"ID_821617","CA","commercial","Humboldt",2019,10,"Humpback Whale",2,"alive","slack _lines",0,0
"ID_814357","CA","commercial","San Diego",2019,11,"Humpback Whale",7,"alive","trap",0,0
"ID_162385","CA","commercial","Santa Cruz",2019,12,"Humpback Whale",9,"alive","gillnet",1,3
